found,company,score,signals,why,evidence_url,more_evidence,website,sources
2026-09-23,Agno,60,competitor_sdk;ai_agent,+40 agno-agi/agno imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/agno-agi/agno/blob/0421a1256fcc8d319144da930017fa77c5349c02/libs/agno/agno/tools/daytona.py,https://github.com/agno-agi,https://agno.com,github
2026-09-23,Arc53,60,competitor_sdk;ai_agent,+40 arc53/DocsGPT imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/arc53/DocsGPT/blob/8a9f3a75d64eac39934f369e7d9cd9fd68706eb5/scripts/build_daytona_snapshot.py,https://github.com/arc53,https://arc53.com,github
2026-09-23,ArcBox Labs,60,competitor_sdk;ai_agent,+40 arcboxlabs/arcbox imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/arcboxlabs/arcbox/blob/b992009907aee2ceeaae0e8f2eb219d5b96c60a5/sdk/typescript/src/e2b/index.ts,https://github.com/arcboxlabs,https://arcbox.dev,github
2026-09-23,AReaL Project,60,competitor_sdk;ai_agent,+40 areal-project/AReaL imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/areal-project/AReaL/blob/0fa9f6233c093449b602d472f2917cf5c3e592d4/areal/infra/sandbox/runner.py,https://github.com/areal-project,https://areal-ai.io/,github
2026-09-23,Arize AI,60,competitor_sdk;ai_agent,+40 Arize-ai/phoenix imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/Arize-ai/phoenix/blob/e4b8130773c7b15de11c9337d509d0eaab4883e7/src/phoenix/server/sandbox/daytona_backend.py,https://github.com/Arize-ai,https://www.arize.com,github
2026-09-23,camel-ai.org,60,competitor_sdk;ai_agent,+40 camel-ai/camel imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/camel-ai/camel/blob/fc27907e31ea2074d6b65ceb121573c5fa1ab345/camel/runtimes/daytona_runtime.py,https://github.com/camel-ai,https://www.camel-ai.org,github
2026-09-23,Cua,60,competitor_sdk;ai_agent,+40 trycua/cua imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/trycua/cua/blob/912a4550b72a770f3a21e1f3453961a9eca9de08/libs/cua-bench/scripts/diagnose_daytona.py,https://github.com/trycua,https://cua.ai,github
2026-09-23,Future AGI,60,competitor_sdk;ai_agent,+40 future-agi/future-agi imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/future-agi/future-agi/blob/990fcafaac2845fd10aea8c2e732ab574b4616e3/futureagi/simulate/views/hosted_harness.py,https://github.com/future-agi,https://futureagi.com,github
2026-09-23,Lightdash,60,competitor_sdk;ai_agent,+40 lightdash/lightdash imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/lightdash/lightdash/blob/bd06e32c8af374fe418fe8e15a66acb2f569c84b/sandboxes/data-apps/assign-tag.ts,https://github.com/lightdash,lightdash.com,github
2026-09-23,Mastra,60,competitor_sdk;ai_agent,+40 mastra-ai/mastra imports the E2B SDK | +20 GitHub profile or repo describes AI agents,https://github.com/mastra-ai/mastra/blob/0609439286f9013bbe41f6999234a7984564ca8c/workspaces/platform-workspace/src/e2b-exec.ts,https://github.com/mastra-ai,https://mastra.ai,github
2026-09-23,OpenThoughts,60,competitor_sdk;ai_agent,+40 open-thoughts/OpenThoughts-Agent imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/open-thoughts/OpenThoughts-Agent/blob/3bd1917e62c9d03d73063b433f5c442c279c0563/scripts/daytona/daytona_client.py,https://github.com/open-thoughts,https://openthoughts.ai,github
2026-09-23,OPPO PersonalAI,60,competitor_sdk;ai_agent,+40 OPPO-PersonalAI/Agent-KB imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/OPPO-PersonalAI/Agent-KB/blob/588d6694e743a981179f2e11b47ca3a668e2f1ac/Agent-KB-SWE-bench/openhands/runtime/impl/daytona/daytona_runtime.py,https://github.com/OPPO-PersonalAI,https://www.oppo.com/,github
2026-09-23,potpie.ai,60,competitor_sdk;ai_agent,+40 potpie-ai/potpie imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/potpie-ai/potpie/blob/7726221dc95c3549a26d83dad9a4b9a0b6aa5ccb/potpie/sandbox/scripts/build_agent_snapshot.py,https://github.com/potpie-ai,https://potpie.ai/,github
2026-09-23,Strukto.AI,60,competitor_sdk;ai_agent,+40 strukto-ai/mirage imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/strukto-ai/mirage/blob/f0cfb703e51efa9a619c84804d80ea169216ee26/python/mirage/runtime/sandbox/daytona/sdk.py,https://github.com/strukto-ai,https://www.strukto.ai/,github
2026-09-23,Superagentic AI,60,competitor_sdk;ai_agent,+40 SuperagenticAI/pyflue imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/SuperagenticAI/pyflue/blob/657c2d1a1b024a0bc137ff3bb252339fa0d5f692/pyflue/sandboxes/daytona.py,https://github.com/SuperagenticAI,https://super-agentic.ai,github
2026-09-23,SWE-agent,60,competitor_sdk;ai_agent,+40 SWE-agent/SWE-ReX imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/SWE-agent/SWE-ReX/blob/5c995c365dfb1fd5bc56fda688be5d8538f9931f/src/swerex/deployment/daytona.py,https://github.com/SWE-agent,https://mini-SWE-agent.com,github
2026-09-23,XLANG Lab,60,competitor_sdk;ai_agent,+40 xlang-ai/OSWorld imports the Daytona SDK | +20 GitHub profile or repo describes AI agents,https://github.com/xlang-ai/OSWorld/blob/b138d348256078fa634fc3b73567a7337c793e6b/desktop_env/providers/daytona/manager.py,https://github.com/xlang-ai,https://xlang.ai,github
2026-09-23,ag2ai,40,competitor_sdk,+40 ag2ai/ag2 imports the Daytona SDK,https://github.com/ag2ai/ag2/blob/57814c91b568e3fe76e3478ee9d0c0229cdf5a6e/ag2/extensions/daytona/environment.py,,https://ag2.ai/,github
2026-09-23,agenta,40,competitor_sdk,+40 Agenta-AI/agenta imports the Daytona SDK,https://github.com/Agenta-AI/agenta/blob/abe0a647a460987b74e8a9298b49bd8b58d75718/services/runner/images/sandbox/daytona/build_snapshot.py,,https://agenta.ai,github
2026-09-23,Google,40,competitor_sdk_example;ai_agent,+20 google/adk-python uses the Daytona SDK in an example or integration | +20 GitHub profile or repo describes AI agents,https://github.com/google/adk-python/blob/eb1a00245cd1fff0af34794e349fc65e40d2847b/src/google/adk/integrations/daytona/_daytona_environment.py,https://github.com/google,https://opensource.google/,github
2026-09-23,Kortix,40,competitor_sdk,+40 kortix-ai/suna imports the E2B SDK,https://github.com/kortix-ai/suna/blob/85f8e6d4edd084f0a76f7d1b921433c0a2f8f911/apps/api/src/platform/providers/e2b.ts,,https://kortix.com/,github
2026-09-23,"Math, Inc.",40,competitor_sdk,+40 math-inc/OpenGauss imports the Daytona SDK,https://github.com/math-inc/OpenGauss/blob/f87633900ae185b8037bf451a914fe7eeae1eb08/tools/environments/daytona.py,,https://math.inc,github
2026-09-23,Nous Research,40,competitor_sdk,+40 NousResearch/hermes-agent imports the Daytona SDK,https://github.com/NousResearch/hermes-agent/blob/2e1afdf0ec48d9322fe9e2b4c55f93d46944e587/tools/environments/daytona.py,,https://nousresearch.com,github
2026-09-23,NovaSky,40,competitor_sdk,+40 NovaSky-AI/SkyRL-OpenHands imports the Daytona SDK,https://github.com/NovaSky-AI/SkyRL-OpenHands/blob/ebf4f5cd6b2cb6269686a1c15c984b0a698cdfc7/openhands/runtime/impl/daytona/daytona_runtime.py,,https://novasky-ai.github.io,github
2026-09-23,Raycast,40,competitor_sdk,+40 raycast/extensions imports the E2B SDK,https://github.com/raycast/extensions/blob/f29c093afe99df8be86c69ca9fb92ad932af8cd6/extensions/whisper-dictation/whisper-dictation/build.dev.ts,,https://raycast.com,github
2026-09-23,rocketride.org,40,competitor_sdk,+40 rocketride-org/rocketride-server imports the Daytona SDK,https://github.com/rocketride-org/rocketride-server/blob/9d07cef5b2bda4bf6ce50887adba6dfa83414a32/nodes/src/nodes/tool_daytona/IGlobal.py,,https://rocketride.org/,github
2026-09-23,SambaNova,40,competitor_sdk,+40 sambanova/agents imports the Daytona SDK,https://github.com/sambanova/agents/blob/1df6ff1d25cbddda0cbdbac308d6e34a6b59620b/backend/src/agents/tools/langgraph_tools.py,,https://sambanova.ai/,github
2026-09-23,Sourcegraph,40,competitor_sdk,+40 sourcegraph/CodeScaleBench imports the Daytona SDK,https://github.com/sourcegraph/CodeScaleBench/blob/8d5f3c876c28a5033634facf42c21da9ebc6fcd6/scripts/running/daytona_runner.py,,https://sourcegraph.com,github
2026-09-23,TealTiger,40,competitor_sdk_example;ai_agent,+20 agentguard-ai/tealtiger uses the Daytona SDK in an example or integration | +20 GitHub profile or repo describes AI agents,https://github.com/agentguard-ai/tealtiger/blob/0c1e5a76cc9a3ff195275c22aa5b59b5345ba4a8/examples/daytona-governed-sandbox/governed_sandbox.py,https://github.com/agentguard-ai,tealtiger.ai,github
2026-09-23,TechBiz Global GmbH,40,sandbox_job;recent_hiring,"+30 job ""Founding Engineering Team Lead (HandsOn)"" mentions sandbox | +10 posted ""Founding Engineering Team Lead (HandsOn)"" on 2026-09-23",https://www.arbeitnow.com/jobs/companies/techbiz-global-gmbh/founding-engineering-team-lead-handson-berlin-68342,,,arbeitnow
2026-09-23,Touchdown Labs,40,competitor_sdk,+40 Touchdown-Labs/inferguard imports the Daytona SDK,https://github.com/Touchdown-Labs/inferguard/blob/9c853564e8b376bb567ec23daa345727ab730479/rlm_agent/daytona_client.py,,https://touchdown-labs.com,github
2026-09-23,Transluce,40,competitor_sdk,+40 TransluceAI/user-awareness imports the Daytona SDK,https://github.com/TransluceAI/user-awareness/blob/d1b9c3573470f50495202795c044bd72f72ee6e5/scripts/utils/daytona_cleanup.py,,transluce.org,github
